name,magnitude,x,y,z,spectra,color
HD 38751,4.880,4.857404,101.274086,46.350723,G8IIIvar,1.021
HD 38656,4.510,2.321024,49.098662,40.061577,G8III,0.949
HD 38899,4.890,3.392778,74.348536,16.706174,B9IV,-0.068
HD 39523,4.500,1.339002,30.148060,-45.022342,K1III,1.075
HD 39425,3.120,0.855327,21.672805,-15.624858,K1.5III,1.146
HD 38944,4.720,4.981894,127.373150,97.126124,M1III,1.621
HD 39364,3.760,1.233354,32.555386,-12.426988,G8III/IV,0.984
HD 39003,3.970,2.033173,54.730173,44.585685,K0III,1.132
HD 39400,4.760,12.726124,385.688226,12.499052,K2IIvar,1.382
HD 39764,4.880,2.560109,85.189583,-57.058132,B5V,-0.154
HD 39357,4.560,3.345638,114.880414,60.114815,A0V,-0.008
Gl 224.1,4.650,0.305734,11.875322,-23.404792,K1III/IV,1.022
Gl 222A,4.390,0.199145,8.123910,3.002187,G0V,0.594
HD 39283,4.960,0.925394,41.145542,60.348077,A2V,0.052
Betelgeuse,0.450,3.189296,151.364387,19.682142,M2Ib,1.500
HD 40176,4.970,1.597973,81.348628,-61.581503,K1IIICN...,1.102
Gl 225,3.710,0.226289,14.424355,-3.641720,F1V,0.337
HD 40494,4.360,2.339512,217.669281,-154.031992,B2.5IV,-0.165
HD 40111,4.810,3.747114,428.148631,208.403863,B1Ib,-0.088
